Entity,Code,Year,Life expectancy
Afghanistan,AFG,2020,61.4537
Africa,OWID_AFR,2020,62.2572
Albania,ALB,2020,77.8241
Algeria,DZA,2020,73.2568
American Samoa,ASM,2020,72.6717
Americas,,2020,74.9717
Andorra,AND,2020,79.4177
Angola,AGO,2020,63.1164
Anguilla,AIA,2020,78.6562
Antigua and Barbuda,ATG,2020,77.1613
Argentina,ARG,2020,75.8781
Armenia,ARM,2020,68.8898
Aruba,ABW,2020,75.4061
Asia,OWID_ASI,2020,73.6064
Australia,AUS,2020,83.6639
Austria,AUT,2020,81.8037
Azerbaijan,AZE,2020,70.3116
Bahamas,BHS,2020,72.9936
Bahrain,BHR,2020,78.6833
Bangladesh,BGD,2020,71.4211
Barbados,BRB,2020,76.6465
Belarus,BLR,2020,72.269
Belgium,BEL,2020,80.7977
Belize,BLZ,2020,71.5801
Benin,BEN,2020,60.154
Bermuda,BMU,2020,81.4562
Bhutan,BTN,2020,72.2531
Bolivia,BOL,2020,62.906
Bonaire Sint Eustatius and Saba,BES,2020,77.213
Bosnia and Herzegovina,BIH,2020,76.0395
Botswana,BWA,2020,67.6426
Brazil,BRA,2020,74.5058
British Virgin Islands,VGB,2020,76.8941
Brunei,BRN,2020,75.1138
Bulgaria,BGR,2020,73.5992
Burkina Faso,BFA,2020,60.4536
Burundi,BDI,2020,62.5694
Cambodia,KHM,2020,70.0594
Cameroon,CMR,2020,61.6738
Canada,CAN,2020,81.6536
Cape Verde,CPV,2020,73.8177
Cayman Islands,CYM,2020,79.2299
Central African Republic,CAF,2020,50.5959
Chad,TCD,2020,53.0818
Chile,CHL,2020,79.3488
China,CHN,2020,78.0191
Colombia,COL,2020,74.7565
Comoros,COM,2020,65.7559
Congo,COG,2020,64.3907
Cook Islands,COK,2020,74.5139
Costa Rica,CRI,2020,79.7252
Cote d'Ivoire,CIV,2020,60.1397
Croatia,HRV,2020,77.4972
Cuba,CUB,2020,77.4075
Curacao,CUW,2020,76.5011
Cyprus,CYP,2020,81.2302
Czechia,CZE,2020,78.237
Democratic Republic of Congo,COD,2020,60.4283
Denmark,DNK,2020,81.5458
Djibouti,DJI,2020,64.2001
Dominica,DMA,2020,71.2693
Dominican Republic,DOM,2020,72.6358
East Timor,TLS,2020,66.9191
Ecuador,ECU,2020,72.0036
Egypt,EGY,2020,69.7897
El Salvador,SLV,2020,70.2436
Equatorial Guinea,GNQ,2020,62.1408
Eritrea,ERI,2020,66.9802
Estonia,EST,2020,78.8929
Eswatini,SWZ,2020,59.8618
Ethiopia,ETH,2020,65.9688
Europe,OWID_EUR,2020,77.6514
Falkland Islands,FLK,2020,78.7753
Faroe Islands,FRO,2020,79.9822
Fiji,FJI,2020,66.924
Finland,FIN,2020,81.8219
France,FRA,2020,82.1993
